,YEAR,SAMPLE,SERIAL,CBSERIAL,HHWT,CLUSTER,STATEFIP,COUNTYFIP,STRATA,GQ,OWNERSHP,OWNERSHPD,MORTGAGE,MORTGAG2,MORTAMT1,MORTAMT2,RENT,RENTGRS,HHINCOME,PERNUM,PERWT,SEX,AGE,IND,INCTOT,INCWAGE
7005,2017,201701,402738,2.017E+12,121,2.017E+12,15,1,20015,1,2,22,0,0,0,0,1000,1560,220400,6,14,2,7,0,9999999,999999
7006,2017,201701,402738,2.017E+12,121,2.017E+12,15,1,20015,1,2,22,0,0,0,0,1000,1560,220400,7,44,2,1,0,9999999,999999
7007,2017,201701,402738,2.017E+12,121,2.017E+12,15,1,20015,1,2,22,0,0,0,0,1000,1560,220400,8,61,1,43,9570,60000,60000
7008,2017,201701,402739,2.017E+12,226,2.017E+12,15,3,30515,1,1,13,3,1,960,0,0,0,168000,1,225,2,61,8680,36000,36000
7009,2017,201701,402739,2.017E+12,226,2.017E+12,15,3,30515,1,1,13,3,1,960,0,0,0,168000,2,220,1,61,7070,38000,38000
7010,2017,201701,402739,2.017E+12,226,2.017E+12,15,3,30515,1,1,13,3,1,960,0,0,0,168000,3,239,2,36,8090,38000,38000
7011,2017,201701,402739,2.017E+12,226,2.017E+12,15,3,30515,1,1,13,3,1,960,0,0,0,168000,4,349,1,13,0,9999999,999999
7012,2017,201701,402739,2.017E+12,226,2.017E+12,15,3,30515,1,1,13,3,1,960,0,0,0,168000,5,212,2,7,0,9999999,999999
7013,2017,201701,402739,2.017E+12,226,2.017E+12,15,3,30515,1,1,13,3,1,960,0,0,0,168000,6,441,1,0,0,9999999,999999
7014,2017,201701,402739,2.017E+12,226,2.017E+12,15,3,30515,1,1,13,3,1,960,0,0,0,168000,7,377,1,37,6180,56000,56000
7015,2017,201701,402740,2.017E+12,256,2.017E+12,15,3,30415,1,2,22,0,0,0,0,3300,3401,150000,1,256,2,56,7870,150000,150000
7016,2017,201701,402740,2.017E+12,256,2.017E+12,15,3,30415,1,2,22,0,0,0,0,3300,3401,150000,2,293,2,53,0,0,0
7017,2017,201701,402740,2.017E+12,256,2.017E+12,15,3,30415,1,2,22,0,0,0,0,3300,3401,150000,3,244,1,24,0,0,0
7018,2017,201701,402740,2.017E+12,256,2.017E+12,15,3,30415,1,2,22,0,0,0,0,3300,3401,150000,4,376,2,21,0,0,0
7019,2017,201701,402740,2.017E+12,256,2.017E+12,15,3,30415,1,2,22,0,0,0,0,3300,3401,150000,5,375,2,21,0,0,0
7020,2017,201701,402741,2.017E+12,133,2.017E+12,15,3,30615,1,1,13,3,1,3000,0,0,0,42100,1,133,2,84,3990,42100,0
7021,2017,201701,402742,2.017E+12,42,2.017E+12,15,3,30615,1,1,13,3,4,2000,2800,0,0,224460,1,42,2,71,8290,48260,0
